Episode,Season,Episode Number,Original Airdate,Episode Description,Thumbnail Link,Hyperlink
"""Arthur's Eyes""",1,1a,7-Oct-96,"After waking up late one night, D.W. finds pictures of Arthur before he had glasses. He tells her the story of when he first started needing them and the teasing that followed.",https://static.wikia.nocookie.net/arthur/images/f/f0/Picture_4.png/revision/latest?cb=20100601154336,https://arthur.fandom.com/wiki/Arthur%27s_Eyes_(episode)
"""Francine's Bad Hair Day""",1,1b,7-Oct-96,"School Picture Day is just around the corner, and Muffy wants to make sure Francine has a photo to be proud off, unlike last year's. However, she doesn't seem interested in the rush and is in fact interested in a kickball game.",https://static.wikia.nocookie.net/arthur/images/5/52/1x01b.png/revision/latest?cb=20100426025625,https://arthur.fandom.com/wiki/Francine%27s_Bad_Hair_Day
"""Arthur and the Real Mr. Ratburn""",1,2a,8-Oct-96,"Arthur and his friends are horrified when they learn that their third grade teacher will be the infamous Mr. Ratburn. He is described by Prunella as a cruel vampire with hypnotic powers who eats nails for breakfast without milk. Arthur and Buster, along with Francine, try to investigate.",https://static.wikia.nocookie.net/arthur/images/7/70/Arthur_and_the_Real_Mr._Ratburn.png/revision/latest?cb=20100426031942,https://arthur.fandom.com/wiki/Arthur_and_the_Real_Mr._Ratburn
"""Arthur's Spelling Trubble""",1,2b,8-Oct-96,"Arthur practices for the spelling bee and competes against Prunella and the Brain, last year's winner and the smartest kid in his class, respectively. Even with the support of his family, he is nervous.",https://static.wikia.nocookie.net/arthur/images/f/fb/Arthur%27s_Spelling_Trubble.png/revision/latest?cb=20100519172903,https://arthur.fandom.com/wiki/Arthur%27s_Spelling_Trubble
"""D.W. All Wet""",1,3a,9-Oct-96,"On a hot summer day, D.W. and her preschool class go on a field trip to the aquarium. When a shark swims by, her classmates hide while she teases it, but when an octopus appears, she is the only one afraid. The Reads go to Bear Lake to escape from the summer heat and everyone is having a wonderful time, except for D.W. who won't swim because she thinks there are octopuses there.",https://static.wikia.nocookie.net/arthur/images/9/9d/1x03a.png/revision/latest?cb=20100519173743,https://arthur.fandom.com/wiki/D.W._All_Wet_(episode)
"""Buster's Dino Dilemma""",1,3b,9-Oct-96,"Mr. Ratburn's make a long-awaited field trip to a Rainbow Rock State Park. On his own, Buster discovers a fossilized dinosaur footprint and takes it home. Despite it being against museum rules, he doesn't want to relinquish his find.",https://static.wikia.nocookie.net/arthur/images/1/1a/1x03b.png/revision/latest?cb=20100512035210,https://arthur.fandom.com/wiki/Buster%27s_Dino_Dilemma_(episode)
"""D.W.'s Imaginary Friend""",1,4a,10-Oct-96,"D.W. has a new imaginary friend named Nadine who follows her everywhere. When Arthur and Buster find out about a new amusement ride at Wonderworld, they don't want her to come along and embarrass them because she would bring Nadine.",https://static.wikia.nocookie.net/arthur/images/3/38/D.W.%27s_Imaginary_Friend.png/revision/latest?cb=20100616174935,https://arthur.fandom.com/wiki/D.W.%27s_Imaginary_Friend
"""Arthur's Lost Library Book""",1,4b,10-Oct-96,"Everyone loves the Scare-Your-Pants-Off book series and the new addition is coming out. Arthur is the first to borrow it along with many other books at the same time, but when he collects the ones scattered around the house, he can't find it.",https://static.wikia.nocookie.net/arthur/images/a/a6/1x04b.png/revision/latest?cb=20190906131151,https://arthur.fandom.com/wiki/Arthur%27s_Lost_Library_Book
"""Arthur's Pet Business""",1,5a,11-Oct-96,"Arthur wants a dog very badly but his parents will not allow him to have one until he proves he is responsible enough. He starts his own pet business to prove it, which includes watching over Mrs. Wood's unfriendly dog, Perky.",https://static.wikia.nocookie.net/arthur/images/c/ca/Perky.png/revision/latest?cb=20200501191742,https://arthur.fandom.com/wiki/Arthur%27s_Pet_Business_(episode)
"""D.W. the Copycat""",1,5b,11-Oct-96,"Arthur doesn't like to play with D.W. because she likes ""baby"" stuff and not what he likes, so she starts acting and dressing like him and following him around, even into the bathroom.",https://static.wikia.nocookie.net/arthur/images/0/0e/D.W._the_Copycat.png/revision/latest?cb=20100614201011,https://arthur.fandom.com/wiki/D.W._the_Copycat
